Product Name,Price (INR)
"Portronics Toad One Bluetooth Mouse with 2.4 GHz & BT 5.3 Dual Wireless, 6 Buttons, Rechargeable, RGB Lights, Connect 3 Devices, Ergonomic Design for Laptop, Smartphone, Tablet (White)",549.0
"Logitech Pebble Mouse 2 M350s Slim Bluetooth Wireless Mouse, Portable, Lightweight, Customisable Button, Quiet Clicks, Easy-Switch for Windows, macOS, iPadOS, Android, Chrome OS - Tonal Graphite",1495.0
"ZEBRONICS Zeb-Comfort Wired USB Mouse, 3-Button, 1000 DPI Optical Sensor, Plug & Play, for Windows/Mac, Black",99.0
"ZEBRONICS PHERO Wired Gaming Mouse with up to 1600 DPI, Rainbow LED Lights, DPI Switch, High Precision, Plug & Play, 4 Buttons",199.0
"Dell MS116 Wired Optical Mouse, 1000DPI, LED Tracking, Scrolling Wheel, Plug and Play",279.0
"Logitech Pebble Mouse 2 M350s Slim Bluetooth Wireless Mouse, Portable, Lightweight, Customisable Button, Quiet Clicks, Easy-Switch for Windows, macOS, iPadOS, Android, Chrome OS - Tonal Graphite",1495.0
"Portronics Toad One Bluetooth Mouse with 2.4 GHz & BT 5.3 Dual Wireless, 6 Buttons, Rechargeable, RGB Lights, Connect 3 Devices, Ergonomic Design for Laptop, Smartphone, Tablet (Black)",549.0
"Offbeat - Atom Dual Bluetooth 5.1+5.1 & 2.4Ghz Wireless, Type-C Rechargeable Silent Click Mouse, Triple Device connectivity Windows, Mac, iOS, Android",1490.0
Amkette Hush Pro Epic Rechargeable Wireless Mouse | 3 Device Connectivity with Bluetooth and USB 2.4 GHz | 2400 DPI | Silent Switches | Ergonomic Design | Type C Charging | Black,749.0
"Portronics Toad II Bluetooth Mouse, with Bluetooth 5.0 & 2.4 Ghz Dual Wireless Connectivity, Rechargeable Battery, Adjustable DPI up to 1600 Compatible with Laptop, MacBook, PC (Grey)",549.0
"Portronics Toad 23 Wireless Optical Mouse with 2.4GHz, USB Nano Dongle, Optical Orientation, Click Wheel, Adjustable DPI(Black)",299.0
"Zebronics Zeb-Power Wired USB Mouse, 3-Button, 1200 DPI Optical Sensor, Plug & Play, for Windows/Mac",149.0
"Logitech M186 Wireless Mouse, 2.4GHz with USB Mini Receiver, 12-Month Battery Life, 1000 DPI Optical Tracking, Ambidextrous, Compatible with PC, Mac, Laptop",495.0
"ZEBRONICS Blanc Slim Wireless Mouse with Rechargeable Battery, BT + 2.4GHz, 4 Buttons, 800/1200/1600 DPI, Silent Operation, Multicolor LED Lights",399.0
"Portronics Toad III Plus Rechargeable Bluetooth Mouse with Bluetooth & 2.4 GHz Wireless Connectivity, Stylish Illustrated Design, 6 Buttons, Soft Silicone Grip for Laptop, PC, Mac (Black)",599.0
amazon basics Wireless Mouse | 2.4 Ghz with USB Nano Receiver | 1000 DPI Optical Tracking | Compatible with PC & Laptop (White & Black),279.0
"ZEBRONICS-Transformer-M with a High-Performance Gold-Plated USB Mouse: 6 Buttons, Multi-Color LED Lights,High-Resolution Sensor with max 3600 DPI, and DPI Switch(Black)",399.0
"amazon basics Wired Mouse | 1000 DPI Optical Sensor | Plug and Play | Compatible with PC, Laptop (Black)",169.0
"Portronics Toad 35 Wireless Mouse with 2.4 GHz Wireless, Adjustable Sensitivity, USB Receiver, Ergonomic Design, for Laptops, Desktops PC, Mac (White)",295.0
"Arctic Fox Pureview Transparent Wireless and Bluetooth Rechargeable Mouse, USB Receiver,LED Battery Magic Silm for Office/PC/Mac/Laptop/Apple/ipad(Space Gray)",599.0
"Portronics Toad One Bluetooth Mouse with 2.4 GHz & BT 5.3 Dual Wireless, 6 Buttons, Rechargeable, RGB Lights, Connect 3 Devices, Ergonomic Design for Laptop, Smartphone, Tablet (Black)",549.0
"ZEBRONICS Zeb-Jaguar Wireless Mouse, 2.4GHz with USB Nano Receiver, High Precision Optical Tracking, 4 Buttons, Plug & Play, Ambidextrous, for PC/Mac/Laptop (Light Blue+Grey)",299.0
"ZEBRONICS Byte Wired Optical Mouse with 3 Buttons, High Precision, 1000 DPI, Works on Most Surfaces, Plug & Play, USB Interface, 1.3m Cable Length",149.0
Zebronics Zeb-Rise Wired USB Optical Mouse with 3 Buttons (Black),99.0
Amkette Hush Pro Epic Rechargeable Wireless Mouse | 3 Device Connectivity with Bluetooth and USB 2.4 GHz | 2400 DPI | Silent Switches | Ergonomic Design | Type C Charging | Black,749.0
"Portronics Toad II Bluetooth Mouse, with Bluetooth 5.0 & 2.4 Ghz Dual Wireless Connectivity, Rechargeable Battery, Adjustable DPI up to 1600 Compatible with Laptop, MacBook, PC (Grey)",549.0
